City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,amealco,20.1833,-100.15,26.04,26,51,1.75,MX,1683495654
309,xianning,29.8833,114.2167,16.38,87,100,2.0,CN,1683495654
310,inhambane,-23.865,35.3833,21.62,80,2,2.43,MZ,1683495040
311,grand-bassam,5.2118,-3.7388,27.98,79,97,2.94,CI,1683495654
312,binkolo,8.9533,-11.9779,26.34,82,96,1.37,SL,1683495655
313,natal,-5.795,-35.2094,28.12,78,20,4.12,BR,1683495655
314,gao,16.6362,1.637,33.2,26,77,3.92,ML,1683495655
315,thunder bay,48.4001,-89.3168,8.99,93,100,4.12,CA,1683495487
316,anloga,5.7947,0.8973,28.68,70,90,3.67,GH,1683495655
317,micheweni,-4.9667,39.8333,25.76,83,7,5.66,TZ,1683495655
318,kyren,51.6828,102.1408,6.21,81,19,1.01,RU,1683495655
319,longboat key,27.4125,-82.659,31.72,50,0,2.57,US,1683495554
320,nova vicosa,-17.8919,-39.3719,24.69,80,2,4.57,BR,1683495655
321,codrington,-38.2667,141.9667,11.95,73,100,5.23,AU,1683495247
322,ust'-kut,56.7938,105.7672,2.61,85,95,1.88,RU,1683495656
323,grand falls-windsor,48.9332,-55.6649,8.61,69,100,4.77,CA,1683495454
324,vorgashor,67.5833,63.95,-8.41,90,100,8.08,RU,1683495493
325,midvagur,62.0511,-7.1939,9.46,93,100,5.14,FO,1683495656
326,kachug,53.9606,105.8817,3.01,77,66,0.28,RU,1683495656
327,port alfred,-33.5906,26.891,17.32,88,100,3.5,ZA,1683495656
328,aykhal,66.0,111.5,-13.38,93,86,2.38,RU,1683495656
329,am timan,11.0297,20.2827,27.62,62,86,3.85,TD,1683495656
330,tomatlan,19.9333,-105.25,32.79,48,1,4.33,MX,1683495494
331,tiassale,5.8983,-4.8283,25.45,86,100,1.49,CI,1683495657
332,coquimbo,-29.9533,-71.3436,16.85,72,0,5.14,CL,1683495269
333,bangui,4.3612,18.555,23.1,94,100,1.54,CF,1683495657
334,mandalgovi,45.7625,106.2708,8.57,23,100,3.11,MN,1683495311
335,salym,60.0625,71.4789,7.89,76,60,5.55,RU,1683495657
336,pisco,-13.7,-76.2167,24.03,69,0,6.17,PE,1683495281
337,khromtau,50.2503,58.4347,10.68,67,92,6.85,KZ,1683495360
338,shimoda,34.6667,138.95,20.06,95,100,9.84,JP,1683495103
339,kapa'a,22.0752,-159.319,26.99,66,75,8.75,US,1683495658
340,baker city,44.7749,-117.8344,11.84,58,75,7.2,US,1683495553
341,carnarvon,-24.8667,113.6333,20.81,63,13,6.0,AU,1683495147
342,krivosheino,57.3431,83.9261,11.72,51,55,2.78,RU,1683495658
343,tangalle,6.024,80.7911,26.09,84,100,5.04,LK,1683495658
344,quellon,-43.1167,-73.6167,10.14,76,0,2.06,CL,1683495658
345,okhotsk,59.3833,143.3,1.7,82,22,2.06,RU,1683495100
346,piton saint-leu,-21.2196,55.3151,24.04,78,0,3.09,RE,1683495658
347,muynoq,43.7683,59.0214,18.67,41,5,3.9,UZ,1683495659
348,liwale,-9.7667,37.9333,17.79,83,7,0.72,TZ,1683495659
349,sinabang,2.4803,96.3801,26.22,87,100,7.08,ID,1683495659
350,jeremie,18.65,-74.1167,27.23,77,55,2.44,HT,1683495659
351,damboa,11.156,12.7576,31.13,13,21,3.07,NG,1683495659
352,udachny,66.4167,112.4,-11.97,66,70,2.02,RU,1683495659
353,ola,59.5833,151.2833,0.76,88,41,1.76,RU,1683495659
354,becancour,46.3334,-72.4324,22.01,21,20,4.63,CA,1683495659
355,bubaque,11.2833,-15.8333,26.13,74,17,3.76,GW,1683495660
356,shahrak,34.1074,64.3052,3.86,62,0,1.01,AF,1683495660
357,siverek,37.755,39.3167,12.37,74,2,1.54,TR,1683495660
358,vif,45.05,5.6667,14.53,94,84,1.62,FR,1683495660
359,likiep,9.8251,169.3107,27.54,83,73,8.44,MH,1683495660
360,sabang,5.8933,95.3214,27.66,80,94,9.02,ID,1683495660
361,ar ruways,24.1103,52.7306,24.53,56,0,2.24,AE,1683495661
362,tofol,5.3248,163.0078,28.28,79,98,4.95,FM,1683495661
